# independent model
 errors  N_1  N_2  dNk  N_1_w_noise  N_2_w_noise  dNk_w_noise
     14   88   96    8           88           96            8
      5   93   91    2           93           91            2
     16  104   80   24          104           80           24
      7   91   93    2           91           93            2
      9   93   91    2           93           91            2
     10   92   92    0           92           92            0
     14   88   96    8           88           96            8
     13   97   87   10           97           87           10
      8   98   86   12           98           86           12
     19   99   85   14           99           85           14
     14   82  102   20           82          102           20
      7   91   93    2           91           93            2
      5   91   93    2           91           93            2
     12   90   94    4           90           94            4
      8   94   90    4           94           90            4
     11   99   85   14           99           85           14
      9   89   95    6           89           95            6
     10   90   94    4           90           94            4
      5   93   91    2           93           91            2
      7   89   95    6           89           95            6
     12   88   96    8           88           96            8
      8   92   92    0           92           92            0
     11   89   95    6           89           95            6
     14   88   96    8           88           96            8
     13   93   91    2           93           91            2
      9   95   89    6           95           89            6
      9   95   89    6           95           89            6
      8   92   92    0           92           92            0
      9   95   89    6           95           89            6
      4   90   94    4           90           94            4
      8   90   94    4           90           94            4
      6   92   92    0           92           92            0
      6   94   90    4           94           90            4
     11   93   91    2           93           91            2
      9   93   91    2           93           91            2
     12   94   90    4           94           90            4
     10   98   86   12           98           86           12
      9   91   93    2           91           93            2
     12   86   98   12           86           98           12
      8   96   88    8           96           88            8
