# independent model
 errors  N_1  N_2  dNk  N_1_w_noise  N_2_w_noise  dNk_w_noise
      1   93   91    2           93           91            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      1   91   93    2           91           93            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      1   93   91    2           93           91            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      1   93   91    2           93           91            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      2   94   90    4           94           90            4
      0   92   92    0           92           92            0
      1   91   93    2           91           93            2
      1   91   93    2           91           93            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      2   94   90    4           94           90            4
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      1   91   93    2           91           93            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      1   93   91    2           93           91            2
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
      0   92   92    0           92           92            0
