# independent model
 errors  N_1  N_2  dNk  N_1_w_noise  N_2_w_noise  dNk_w_noise
      9   85   99   14           85           99           14
     14   78  106   28           78          106           28
      6   86   98   12           86           98           12
     11   83  101   18           83          101           18
      5   87   97   10           87           97           10
      9   83  101   18           83          101           18
      9   85   99   14           85           99           14
      7   87   97   10           87           97           10
     11   81  103   22           81          103           22
     10   82  102   20           82          102           20
      8   88   96    8           88           96            8
      8   86   98   12           86           98           12
      9   85   99   14           85           99           14
     12   80  104   24           80          104           24
     13   81  103   22           81          103           22
     14   80  104   24           80          104           24
      7   85   99   14           85           99           14
     12   86   98   12           86           98           12
      7   87   97   10           87           97           10
      8   90   94    4           90           94            4
      7   85   99   14           85           99           14
     14   86   98   12           86           98           12
     10   84  100   16           84          100           16
     12   82  102   20           82          102           20
      9   85   99   14           85           99           14
     10   82  102   20           82          102           20
      7   85   99   14           85           99           14
     12   86   98   12           86           98           12
      7   89   95    6           89           95            6
     10   86   98   12           86           98           12
      9   85   99   14           85           99           14
     11   85   99   14           85           99           14
      7   89   95    6           89           95            6
     11   85   99   14           85           99           14
      9   85   99   14           85           99           14
      4   88   96    8           88           96            8
     12   80  104   24           80          104           24
      8   88   96    8           88           96            8
     10   82  102   20           82          102           20
     17   77  107   30           77          107           30
     12   80  104   24           80          104           24
     12   80  104   24           80          104           24
     10   82  102   20           82          102           20
      8   86   98   12           86           98           12
      9   83  101   18           83          101           18
      4   90   94    4           90           94            4
      7   87   97   10           87           97           10
      6   90   94    4           90           94            4
      9   85   99   14           85           99           14
     15   81  103   22           81          103           22
     11   85   99   14           85           99           14
     15   83  101   18           83          101           18
     12   82  102   20           82          102           20
      8   84  100   16           84          100           16
      9   83  101   18           83          101           18
     13   85   99   14           85           99           14
      8   84  100   16           84          100           16
      9   91   93    2           91           93            2
     12   84  100   16           84          100           16
     10   84  100   16           84          100           16
      7   89   95    6           89           95            6
     12   82  102   20           82          102           20
     10   84  100   16           84          100           16
      8   86   98   12           86           98           12
      9   87   97   10           87           97           10
      4   88   96    8           88           96            8
      9   85   99   14           85           99           14
     16   76  108   32           76          108           32
      6   86   98   12           86           98           12
      9   85   99   14           85           99           14
      8   86   98   12           86           98           12
      8   86   98   12           86           98           12
     12   82  102   20           82          102           20
      9   83  101   18           83          101           18
      9   85   99   14           85           99           14
      7   85   99   14           85           99           14
      9   85   99   14           85           99           14
      9   83  101   18           83          101           18
      9   83  101   18           83          101           18
     10   82  102   20           82          102           20
      7   87   97   10           87           97           10
     14   86   98   12           86           98           12
      8   84  100   16           84          100           16
      5   87   97   10           87           97           10
      7   89   95    6           89           95            6
      8   86   98   12           86           98           12
      5   87   97   10           87           97           10
      8   86   98   12           86           98           12
      7   85   99   14           85           99           14
     13   83  101   18           83          101           18
     17   77  107   30           77          107           30
      8   88   96    8           88           96            8
     12   80  104   24           80          104           24
      6   86   98   12           86           98           12
     11   81  103   22           81          103           22
      9   83  101   18           83          101           18
     11   83  101   18           83          101           18
      9   91   93    2           91           93            2
      7   87   97   10           87           97           10
      8   84  100   16           84          100           16
