# independent model
 errors  N_1  N_2  dNk  N_1_w_noise  N_2_w_noise  dNk_w_noise
     10   92   92    0           92           92            0
     13   89   95    6           89           95            6
     11   99   85   14           99           85           14
     12   92   92    0           92           92            0
      5   93   91    2           93           91            2
     14   92   92    0           92           92            0
     10   90   94    4           90           94            4
      9   89   95    6           89           95            6
      6   90   94    4           90           94            4
     14   92   92    0           92           92            0
      8   98   86   12           98           86           12
      7   93   91    2           93           91            2
     11   93   91    2           93           91            2
      9   93   91    2           93           91            2
      8   86   98   12           86           98           12
     15   95   89    6           95           89            6
      9   91   93    2           91           93            2
     12   90   94    4           90           94            4
      7   93   91    2           93           91            2
      7   91   93    2           91           93            2
      8   88   96    8           88           96            8
     10  100   84   16          100           84           16
      4   96   88    8           96           88            8
      7   87   97   10           87           97           10
     14   98   86   12           98           86           12
      9   95   89    6           95           89            6
      7   89   95    6           89           95            6
     11   85   99   14           85           99           14
      8   84  100   16           84          100           16
      8   92   92    0           92           92            0
     13   91   93    2           91           93            2
      9   93   91    2           93           91            2
      6   92   92    0           92           92            0
      8   94   90    4           94           90            4
      8   94   90    4           94           90            4
      7   91   93    2           91           93            2
      6   94   90    4           94           90            4
     13   91   93    2           91           93            2
     10   96   88    8           96           88            8
      3   93   91    2           93           91            2
      5   89   95    6           89           95            6
      9   89   95    6           89           95            6
      6   92   92    0           92           92            0
      7   95   89    6           95           89            6
      5   93   91    2           93           91            2
      8   92   92    0           92           92            0
      9   99   85   14           99           85           14
      7   95   89    6           95           89            6
      8   96   88    8           96           88            8
      8   92   92    0           92           92            0
      6   92   92    0           92           92            0
     12   98   86   12           98           86           12
      5   93   91    2           93           91            2
      6   94   90    4           94           90            4
     10   98   86   12           98           86           12
     12   92   92    0           92           92            0
     10   96   88    8           96           88            8
      8   94   90    4           94           90            4
      6   92   92    0           92           92            0
      9   93   91    2           93           91            2
     13   95   89    6           95           89            6
      8   86   98   12           86           98           12
      5   91   93    2           91           93            2
      7   91   93    2           91           93            2
     13   97   87   10           97           87           10
     10   90   94    4           90           94            4
      8   90   94    4           90           94            4
      7   85   99   14           85           99           14
      8   92   92    0           92           92            0
      6   94   90    4           94           90            4
      7   89   95    6           89           95            6
      9   95   89    6           95           89            6
      8   92   92    0           92           92            0
     14   92   92    0           92           92            0
      9   95   89    6           95           89            6
      6   92   92    0           92           92            0
      9   87   97   10           87           97           10
      7   93   91    2           93           91            2
     12   92   92    0           92           92            0
     15   91   93    2           91           93            2
      8   94   90    4           94           90            4
     13   95   89    6           95           89            6
      7   93   91    2           93           91            2
     11   95   89    6           95           89            6
      6   94   90    4           94           90            4
      7   95   89    6           95           89            6
      5   87   97   10           87           97           10
      7   89   95    6           89           95            6
      9   91   93    2           91           93            2
      6   92   92    0           92           92            0
     10   94   90    4           94           90            4
     12   94   90    4           94           90            4
     11   91   93    2           91           93            2
     10   90   94    4           90           94            4
      5   91   93    2           91           93            2
     10   88   96    8           88           96            8
      9   91   93    2           91           93            2
      8   88   96    8           88           96            8
      5   95   89    6           95           89            6
      7   93   91    2           93           91            2
