# catastrophe model
# p_misseg: 0.01
# n_cells: 10000
# n_chrom: 92
# p_cat: 0.1
# C: 3
 errors  dNk  dNk_w_noise
    3.0    2            2
    6.0    8            8
    4.0    0            0
    3.0    2            2
    4.0    4            5
    5.0    2            2
    4.0    4            5
    3.0    2            3
    4.0    0            0
    4.0    4            5
    3.0    6            6
    5.0    6            7
    3.0    2            2
    4.0    4            6
    4.0    0            1
    3.0    2            2
    3.0    2            2
    3.0    2            4
    4.0    4            6
    4.0    4            5
    3.0    2            3
    3.0    2            2
    3.0    2            3
    3.0    2            3
    4.0    4            5
    4.0    4            5
    3.0    2            2
    3.0    2            3
    4.0    4            6
    3.0    6            6
    3.0    2            2
    5.0   10           11
    4.0    8            8
    3.0    2            4
    5.0    2            3
    5.0    2            2
    3.0    6            8
    6.0    4            4
    5.0    2            3
    5.0    6            6
    3.0    2            4
    5.0    6            7
    5.0    2            4
    4.0    4            4
    4.0    4            5
    4.0    4            5
    5.0   10           10
    3.0    2            3
    4.0    4            5
    4.0    4            5
    5.0    6            7
    5.0    2            2
    3.0    2            2
    3.0    6            6
    3.0    2            3
    3.0    2            2
    4.0    4            4
    6.0    0            2
    5.0    2            3
    6.0    4            4
    3.0    2            4
    6.0    0            1
    4.0    4            6
    3.0    2            5
    3.0    2            3
    5.0    2            2
    4.0    4            6
    3.0    2            4
    3.0    2            3
    6.0    4            5
    3.0    2            4
    3.0    6            6
    3.0    2            4
    6.0    4            4
    4.0    4            6
    3.0    2            2
    4.0    0            0
    4.0    4            6
    5.0    2            2
    7.0    6            7
    6.0    0            0
    4.0    8           10
    4.0    0            3
    4.0    4            7
    4.0    4            4
    3.0    2            3
    4.0    0            1
    5.0    2            2
    4.0    4            4
    3.0    6            6
    3.0    2            4
    3.0    2            4
    4.0    4            5
    6.0    0            0
    4.0    0            1
    4.0    0            0
    4.0    0            1
    7.0    2            2
    3.0    2            2
    3.0    2            2
    4.0    8           10
    3.0    2            3
    3.0    2            2
    5.0    2            4
    3.0    6            7
    4.0    4            5
    3.0    2            2
    4.0    0            0
    5.0    2            2
    3.0    2            3
    3.0    6           10
    4.0    0            1
    3.0    2            4
    4.0    4            5
    5.0    2            2
    3.0    6            9
    7.0    2            4
    3.0    6            8
    5.0    2            4
    4.0    0            0
    3.0    2            4
    4.0    0            3
    3.0    6            8
    3.0    2            3
    3.0    2            3
    3.0    2            3
    6.0    4            6
    3.0    2            4
    4.0    0            2
    5.0    6            7
    3.0    2            3
    5.0    2            2
    4.0    4            6
    3.0    2            4
    4.0    4            4
    4.0    0            1
    3.0    6            8
    4.0    4            4
    5.0    6            6
    3.0    2            3
    4.0    8            8
    4.0    4            6
    6.0    0            0
    5.0   10           12
    4.0    0            2
    3.0    2            2
    6.0    4            4
    4.0    0            2
    4.0    0            0
    3.0    2            5
    5.0    2            4
    5.0    2            3
    3.0    6            9
    6.0    0            1
    4.0    4            5
    4.0    4            6
    6.0    0            2
    3.0    2            2
    3.0    6            9
    3.0    2            2
    3.0    2            2
    4.0    4            7
